GLCNACPTRANS-RXN	ACGAMT
PHENPRODIOLDEHYDROG-RXN	DHPPD
1.2.1.2-RXN	FDH
FORMATE-DEHYDROGENASE-NADP+-RXN	FDH2
FORMATEDEHYDROG-RXN	FDH4
NAG1P-URIDYLTRANS-RXN	UAGDP
R344-RXN	CYRDAAT
THIAMIN-TRIPHOSPHATASE-RXN	THMTP
RXN-13616	ECOAH4
INOPHOSPHOR-RXN	PUNP5
RXN0-2201	LSERDHr
R227-RXN	COBS
PEPTIDE-ALPHA-N-ACETYLTRANSFERASE-RXN	PEPAT
THREDEHYD-RXN	THRD_L
GALPMUT-RXN	UDPGALM
RXN-8001	HISTD
3.6.3.35-RXN	MNabc
RXN-14220	NDP8
RXN-14227	NT5C
RXN-14226	DHPS
RXN-14225	GLACO
RXN-14229	ACOAD3f
PRIBFAICARPISOM-RXN	PRMICI
FORMYL-COA-HYDROLASE-RXN	FCOAH
HEMN-RXN	CPPPGO2
CPM-KDOSYNTH-RXN	KDOCT
1.8.4.4-RXN	CYSGLTH
GLYCEROL-2-PHOSPHATASE-RXN	G2PPpp
CHOLINE-SULFATASE-RXN	CHOLSH
ADENYLOSUCCINATE-SYNTHASE-RXN	ADSS
TYROSINE-AMINOTRANSFERASE-RXN	TYRTA
RXN-2901	APAT2rm
THRESYN-RXN	THRS
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	NFORGLUAH
ADENYL-KIN-RXN	ADK1
RXN6666-6	34DHPHAMT
RXN6666-4	42A12BOOX
RXN6666-9	DOPASULT
RXN-13617	ACACT4p
CATECHOL-23-DIOXYGENASE-RXN	CAT23DOX
RXN-7184	MI1345PKn
UDPREDUCT-RXN	RNDR4
ACH3-RXN	ACHtn
UDP-NACMURALA-GLU-LIG-RXN	UAMAGS
RXN0-5462	NTP3
OHMETPYRKIN-RXN	HMPK1
ADENPRIBOSYLTRAN-RXN	ADPT
CYSTATHIONINE-BETA-LYASE-RXN	CYSTL
RXN66-323	DHCR72r
GMP-SYN-GLUT-RXN	GMPS2
RXN-7981	P4507B12r
3.6.3.4-RXN	CU2abcpp
RXN-5741	AACPS9
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	AHCYSNS
NMNAMIDOHYDRO-RXN	NMNDA
1.8.5.1-RXN	GTHDH
RXN-11135	ATPM
RXN-12720	SELADT
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	OPAH
FUCPALDOL-RXN	FCLPA
GLUTRACE-RXN	GLUR
RIBULP3EPIM-RXN	RPE
TREHALOSEPHOSPHA-RXN	TRE6PP
RXN-9829	VITD3Hm
PALMITOYL-COA-HYDROLASE-RXN	FACOAE160
RXN-12825	GGT5r
GLUTAMATE-DEHYDROGENASE-RXN	GLUDx
INOSINE-NUCLEOSIDASE-RXN	INSH
THIOREDOXIN-REDUCT-NADPH-RXN	TRDR
RIBOSYLNICOTINAMIDE-KINASE-RXN	RNMK
TRANS-RXN-189	NAt
ACETYL-COA-ACETYLTRANSFER-RXN	ACACT1
TRANS-RXN-186	Ktex
RXN-14074	ADK3
RXN0-2441	ACONMT
METHYLCROTONYL-COA-CARBOXYLASE-RXN	MCCC
2.7.1.140-RXN	MI1346PKn
LACTALDREDUCT-RXN	ALCD21_L
2.7.7.60-RXN	MEPCT
RXN-10058	DRTPPD
6-PHOSPHOFRUCTO-2-KINASE-RXN	PFK26
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	SSALx
DETHIOBIOTIN-SYN-RXN	DBTS
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEUTA
ASPARAGHYD-RXN	ASNN
GKI-RXN	GLYCK2
RXN-6261	ADCPS2
RXN-969	GLYCTO1
RXN-9521	EAR60y
RXN-9520	3HAD60
RXN-9523	3OAS80
RXN-9524	3OAR80
RXN-9527	3OAS100
RXN-9526	EAR80y
RXN-9528	3OAR100
2.5.1.44-RXN	HSPMS
RXN-14125	4HTHRS
1.5.1.20-RXN	MTHFR2
RXN-2902	MMSAD3
6.3.1.10-RXN	ADCPS1
MHPHYDROXY-RXN	3HPPPNH
ALLANTOINASE-RXN	ALLTN
D-ASPARTATE-OXIDASE-RXN	DASPO1p
3.6.3.36-RXN	TAURabc
ERYTHRON4PDEHYDROG-RXN	PERD
RXN4FS-2	PMETM_SC
IODIDE-PEROXIDASE-RXN	THYPX
THREOSPON-RXN	AOBUTDs
OXALYL-COA-DECARBOXYLASE-RXN	OXCDC
PANTEPADENYLYLTRAN-RXN	PTPAT
GLYCINE-N-CHOLOYLTRANSFERASE-RXN	BAAT1x
2.6.1.18-RXN	APATr
RXN-14116	PUTA3
TRYPTOPHAN-23-DIOXYGENASE-RXN	TRPO2
RXN-9952	GND
PUTRESCINE-OXIDASE-RXN	PTRCOX1
PRTRANS-RXN	ANPRT
RXN-6384	3HPCOAHYD
RXN-6383	PRPNCOAHYDm
RXN0-3962	ALDD2y
RXN-12197	NDP7er
RXN-12196	NDP8ex
RXN-12195	NTP5
3.8.1.8-RXN	ATRZCH
3.1.3.46-RXN	FBP26
R601-RXN	FRD
RXN-14118	DCTPD2
TRIMETHYLLYSINE-DIOXYGENASE-RXN	TMLYSOX
FORMALDEHYDE-DEHYDROGENASE-RXN	ALDD1
RXN-11211	DHPM2
RXN-11210	BUP2
RXN-11219	4MCAT23DOX
RXN0-5228	ALAGLUE
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	FMETTRS
5-AMINOPENTANAMIDASE-RXN	APENTAMAH
SHIKIMATE-KINASE-RXN	SHKK
ISOCHORSYN-RXN	ICHORS
PHEAMINOTRANS-RXN	PHETA1
RXN-9722	HSD3B11
METHYLMALONYL-COA-DECARBOXYLASE-RXN	MMCD
UDPMANNACADEHYDROG-RXN	UACMAMO
ATP-ADENYLYLTRANSFERASE-RXN	ATPATF1
RXN-9545	ECOAH8
THYKI-RXN	TMDK1
GLUTARATE--COA-LIGASE-RXN	GLCOAS
THYMIDYLATESYN-RXN	TMDS
1.2.1.47-RXN	TMABADH
RXN-12507	HACD6
1.2.1.67-RXN	VNDH
2.7.7.30-RXN	F1PGT
ADENYLYLSULFKIN-RXN	ADSK
RETINOL-DEHYDROGENASE-RXN	RDH1
RXN-5721	QUILSYN
RXN-8641	ALCD21_D
2.6.1.7-RXN	KYNAKGAT
PROPIONYL-COA-CARBOXY-RXN	PPCOAC
RXN-14143	NTD1
RXN-14140	NTPP2
R208-RXN	HACNHm
UROCANATE-HYDRATASE-RXN	URCN
RXN-9615	NH4t
2-DEHYDROPANTOATE-REDUCT-RXN	DPR
ARGSUCCINLYA-RXN	ARGSL
DTDPDEHYRHAMREDUCT-RXN	TDPDRR
RXN-10089	IMACTD
RXN0-5073	NTP10
ACETYLORNTRANSAM-RXN	ACOTA
TETHYDPICSUCC-RXN	THDPS
DEHYDDEOXGALACTKIN-RXN	DDGALK
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	OP4ENH
ANTHRANSYN-RXN	ANS
GPPSYN-RXN	DMATT
RXN-13374	BCDO
MALSYN-RXN	MALS
RXN-721	METB1
SUCCSEMIALDDEHYDROG-RXN	SSALy
TRANS-RXN-131	GLYCt
UDPMANACATRANS-RXN	ACMAMUT
CATAL-RXN	CAT
QUINOPRIBOTRANS-RXN	NNDPR
INOSINEKIN-RXN	INSK
CYTIDEAM-RXN	DCYTD
CYSTEINE--TRNA-LIGASE-RXN	CYSTRS
GUANINE-DEAMINASE-RXN	GUAD
ALLOPHANATE-HYDROLASE-RXN	ALPHNH
RXN-11832	CYTK1
GCVMULTI-RXN	GLYCL
GSAAMINOTRANS-RXN	G1SAT
HYDROXYPYRROLINEDEH-RXN	PHCD
RXN-12567	ECOAH2
RXN-12565	ACACT2r
RXN-12562	RDH2
3-OXOADIPATE-ENOL-LACTONASE-RXN	OXOAEL
RXN3O-127	SACCD1
SUCCORNTRANSAM-RXN	SOTA
DCMP-DEAMINASE-RXN	DCMPDA
--LIMONENE-6-MONOOXYGENASE-RXN	P4502C92
RXN-8888	NH4OHDs
SAICARSYN-RXN	PRASCS
RXN-14139	NTPP8
RXN-8080	GF4GL-0
RXN-8776	ARAB1D2
RXN-14138	NHFRBO
RXN-8773	XYLR
RXN-8772	ARABR
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	BZDH
URPHOS-RXN	PYNP2r
ADCLY-RXN	ADCL
ATP-PYROPHOSPHATASE-RXN	NTPP6
CYSTHIOCYS-RXN	CYSLYSL
ASPARTASE-RXN	ASPT
RXN-14131	ACOAD6f
RXN-14003	NDP10ex
APYRASE-RXN	ATPH1e
IMPCYCLOHYDROLASE-RXN	IMPC
RXN66-241	NORANMT
RXN-14136	GPDDA3
ACETATE--COA-LIGASE-RXN	ACS
BISPHOSPHOGLYCERATE-MUTASE-RXN	DPGM
CITRATE-DEHYDRATASE-RXN	ACONTa
RXN0-5114	PSP_L
RXN0-5116	RBK_L1
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	GluForTx
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	GF6PTA
ACETOLACTATE-DECARBOXYLASE-RXN	ACLDC
RXN-1126	CAFFCOA
THI-P-KIN-RXN	TMPK
TRANS-RXN-156	MNLpts
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	DNMPPA
2OXOGLUTARATEDEH-RXN	AKGDH
ESTRONE-SULFOTRANSFERASE-RXN	ESTSULT
DEOXYGUANOSINE-KINASE-RXN	DGNSKm
3.6.3.3-RXN	CD2abc1
RXN-10780	5HOXINDACTOX
DIMETHUROPORDEHYDROG-RXN	SHCHD2
GLUCURONATE-REDUCTASE-RXN	GULNDer
LACTALDEHYDE-OXI-RXN	LCADi_D
OXALATE--COA-LIGASE-RXN	OXACOAL
DEPHOSPHOCOAKIN-RXN	DPCOAK
SPHINGANINE-KINASE-RXN	SLCBK1
ACETOACETYL-COA-TRANSFER-RXN	ACACCT
PEPDEPHOS-RXN	PYK
XYLULOKIN-RXN	XYLK
GLUTATHIONE-PEROXIDASE-RXN	GTHP
GLUTAMINESYN-RXN	GLNS
RXN0-1603	NTPP11
RXN0-1602	NTPP10
RXN-12820	AP4AH1
3.1.4.2-RXN	GPDDA1
GLYOCARBOLIG-RXN	GLXCL
ADOMET-DMK-METHYLTRANSFER-RXN	AMMQLT8
RXN-8579	PXMO
3.6.4.5-RXN	ATPM
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UAGCVT
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	OPHBDC
GLUTKIN-RXN	GLU5K
RXN-8759	SHCHCC
RXN-6021	CHOLD
DCDPKIN-RXN	NDPK7
DLACTDEHYDROGNAD-RXN	LDH_D
L-XYLULOSE-REDUCTASE-RXN	XYLUR
ADENPHOSPHOR-RXN	PUNP1
ISOCHORMAT-RXN	ICHORT
2.1.1.132-RXN	PC6YM
CYSTATHIONINE-BETA-SYNTHASE-RXN	CYSTS
3.6.3.51-RXN	ATPM
GLUCISOM-RXN	XYLI2
RXN66-221	3HLYTCL
KDOTRANS2-RXN	MOAT2
CITSYN-RXN	CS
RXN-10891	VNTDM
RXN-9896	GHMT3
1.1.1.8-RXN	G3PD1
GLYC3PDEHYDROGBIOSYN-RXN	G3PD
ACETYLHOMOSER-CYS-RXN	AHSERL2
GMP-SYN-NH3-RXN	GMPS
RXN-12069	24,25VITD3Hm
TRANS-RXN-178	CU2abcpp
MYO-INOSITOL-OXYGENASE-RXN	INOSTO
GLURS-RXN	GLUTRS
1.1.1.197-RXN	CBR1
N-ACETYLTRANSFER-RXN	ACGS
GLUTSEMIALDEHYDROG-RXN	G5SD
IMP-DEHYDROG-RXN	IMPD
4.3.1.4-RXN	FTCD
LTARTDEHYDRA-RXN	TARTD
DEOXYADENYLATE-KINASE-RXN	DADK
XMPXAN-RXN	NTD10
PPPGPPHYDRO-RXN	GTPDPDP
FUMARYLACETOACETASE-RXN	FUMAC
L-ARABINITOL-4-DEHYDROGENASE-RXN	ABTD
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	OXPTNDH
3-SULFINOALANINE-AMINOTRANSFERASE-RXN	3SALATAi
RXN-10720	KYNATESYN
RIBOFLAVINKIN-RXN	RBFK
RXN-10721	3HKYNAKGAT
LUMAZINESYN-RXN	RBFSa
TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN	XMO
RXN-0	PTRCAT1
RXN-1	APRTO2
NICOTINAMID-RXN	NNAM
GALACTONDEHYDRAT-RXN	GALCTND
HISTAMINE-N-METHYLTRANSFERASE-RXN	SAMHISTA
O-SUCCHOMOSERLYASE-RXN	SHSL1
RXN-14177	URFGTT
RXN-14218	NDP4
RXN-14216	NTP6
RXN-14217	NTP4
RXN-14214	NTP2
RXN-14210	1PPDCRp
RXN-14211	GLUTCOADHc
RXN0-382	DXYLK
RXN0-383	NTPP4
D-RIBULOKIN-RXN	RBK_D
GLUCOSAMINE-6-P-DEAMIN-RXN	G6PDA
RXN3DJ-170	5HLTDL
2.1.1.133-RXN	PC11M
4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN	EHGLAT
ARACHIDONATE-5-LIPOXYGENASE-RXN	ALOX5
ARGININE-N-SUCCINYLTRANSFERASE-RXN	AST
RXN-9627	FACOAE120
RXN-9624	FACOAE180
KDUD-RXN	DGC3D
DSERDEAM-RXN	SERD_D
2-KETO-ADIPATE-DEHYDROG-RXN	2OXOADOXm
STERYL-SULFATASE-RXN	STS1
2.1.1.5-RXN	BHMT
RXN0-5330	NADH2r
RXN0-5388	NADH2r2
RXNRTT-78	NADH2FMN
NADH-DEHYDROG-A-RXN	NADH2
CYTOCHROME-C-OXIDASE-RXN	CYOO
1.10.2.2-RXN	CYOR
HISTIDINE--TRNA-LIGASE-RXN	HISTRS
AIRS-RXN	PRAIS
3.6.3.46-RXN	CD2abc1
DIAMINOPIMDECARB-RXN	DAPDC
OROPRIBTRANS-RXN	ORPT
RXN-12002	UMPK
4.1.1.32-RXN	PEPCK
LYSINE--TRNA-LIGASE-RXN	LYSTRS
THIAMINASE-RXN	TMN
RXN-10747	SPMDOX
DIOHBUTANONEPSYN-RXN	DB4PS
PHENYLALANINE-DECARBOXYLASE-RXN	PHYCBOXL
UREASE-RXN	UREA
2.7.7.14-RXN	PETHCT
GLUTAMIDOTRANS-RXN	IG3PS
RXN66-356	P45021A2r
RXN0-1061	ATPM
NAD-KIN-RXN	NADK
PYRIDOXAL-OXIDASE-RXN	PYDXDH
SERINE-C-PALMITOYLTRANSFERASE-RXN	SERPT
ETHANOLAMINE-KINASE-RXN	ETHAK
METHYLMALONYL-COA-MUT-RXN	MMM2
GDPMANMANHYDRO-RXN	GDPMNH
RXN-12492	AMID2
RXN-12490	HACD4
1.1.1.181-RXN	HSD3B7
RXN-646	MALMDA
ALARACECAT-RXN	ALAR
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN	SUCOAS1m
GLUTAMINE--TRNA-LIGASE-RXN	GLNTRS
RXN-6622	AMPTASECG
CITRATE-RE-SYNTHASE-RXN	CS
PROPIONATE--COA-LIGASE-RXN	ACCOALm
RXN0-6541	PFK_3
RXN-14232	INS2D
DIHYDLIPOXN-RXN	GCC2cm
DADPKIN-RXN	NDPK8
GUANOSINE-DIPHOSPHATASE-RXN	NDP3
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	HBZOPT
RXN-14090	3NTD4pp
RXN-14091	23PDE2pp
RXN-14093	DCK1m
KYNURENINE-3-MONOOXYGENASE-RXN	KYN3OX
RXN-8647	ALOX52
5.4.99.18-RXN	AIRC3
ASNSYNB-RXN	ASNS1
1.2.1.54-RXN	GDBTALDH
2.1.1.17-RXN	PETOHM_SC
1.14.11.18-RXN	PHYHx
CARBAMATE-KINASE-RXN	CBMK
RXN0-4301	S7PI
RXN490-3641	PROAKGOX1r
SUCCDIAMINOPIMDESUCC-RXN	SDPDS
6.3.5.7-RXN	GLNTRAT
ASPARTATE--TRNA-LIGASE-RXN	ASPTRS
GUANYL-KIN-RXN	GK1
3.6.3.24-RXN	NI2abcpp
CYSTEINE-DIOXYGENASE-RXN	CYSO
3.7.1.9-RXN	HMSH
RXN-8578	MXMO
GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN	GACMTRc
ALCOHOL-DEHYDROG-RXN	ALCD2if
ADENYLATECYC-RXN	ADNCYC
RXN-8672	DALAOX
GLYC3PDEHYDROG-RXN	G3PD5
D-ALANINE-AMINOTRANSFERASE-RXN	ALATA_D
ASPARTATEKIN-RXN	ASPK
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	DNTPPA
RXN0-4361	GMHEPPA
RXN-8988	ITCOAL1m
ARYLFORMAMIDASE-RXN	FKYNH
GLUTATHIONE-REDUCT-NADPH-RXN	GTHO
AICARSYN-RXN	ADSL2
ACETALD-DEHYDROG-RXN	ACALD
3.6.3.9-RXN	NaKt
TYROSINE--TRNA-LIGASE-RXN	TYRTRS
GLUTCYSLIG-RXN	GLUCYS
HOMOCYSMET-RXN	MHPGLUT
TYROSINE-DECARBOXYLASE-RXN	TYRCBOX
5.4.2.10-RXN	PGAMT
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	SFGTH
PYRIDOXINE-4-OXIDASE-RXN	PYDXNO
RXN-8801	RBPI
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	SLFAT
TRANS-RXN-194	CA2abc
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	BDH
1.6.1.2-RXN	NADTRHD
RXN-14194	ACOAD7f
AMINEPHEN-RXN	PEAMNO
ALLOSE-KINASE-RXN	ALLK
RXN-14193	ACOAD1f
COBINAMIDEKIN-RXN	ADOCBIK
3-OXOACYL-ACP-SYNTH-BASE-RXN	KAS14
3.6.3.12-RXN	HKt
THREONINE--TRNA-LIGASE-RXN	THRTRS
PGLYCDEHYDROG-RXN	PGCD
UDP-GLUCURONATE-DECARBOXYLASE-RXN	UDPGLDCg
RXN-13061	TYRDOPO3
L-ASPARTATE-OXID-RXN	ASPO6
UDP-NACMURALGLDAPLIG-RXN	UAAGDS
ARABISOM-RXN	ARAI
CARBPSYN-RXN	CBPS
RXN0-5199	PUNP3
RXN-10911	34DHOXPEGOX
RXN-10910	MAOLNOR
RXN-10912	34DHXMANDACOX
RXN-10917	3MOX4HOXPGALDOX
RXNI-2	OCOAT1
PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN	PNCDC
DOPAMINE-BETA-MONOOXYGENASE-RXN	DOPABMO
MANNONDEHYDRAT-RXN	MNNH
RXN-14113	23PDE7pp
FUCOKINASE-RXN	FK
ALLANTOICASE-RXN	ALLTAH
CHORPYRLY-RXN	CHRPL
SPERMINE-SYNTHASE-RXN	SPRMS
SERINE-O-ACETTRAN-RXN	SERAT
SEDOBISALDOL-RXN	FBA3
VALINE--TRNA-LIGASE-RXN	VALTRS
VALINE-PYRUVATE-AMINOTRANSFER-RXN	VPAMT
1.1.1.34-RXN	HMGCOAR
RXN-10715	ALDD20x
PHOSGLYPHOS-RXN	PGK
GUANIDINOBUTANAMIDE-NH3-RXN	AMID
MALIC-NADP-RXN	ME2
FPPSYN-RXN	GRTT
RXN-8665	TRPO2
FARNESYLTRANSTRANSFERASE-RXN	FRTT
THREONINE-ALDOLASE-RXN	THRA
4.1.1.81-RXN	THRPD
RXN-14160	GPDDA2
RXN-12570	HACD2
4.3.1.15-RXN	DAPAL
GART-RXN	GARFT
MALEYLACETOACETATE-ISOMERASE-RXN	MACACI
RXN0-5240	ALATA_D2
1.1.1.215-RXN	2DGLCNRy
DCTP-PYROPHOSPHATASE-RXN	NTPP3
CARNITINE-O-PALMITOYLTRANSFERASE-RXN	C160CPT1
--LIMONENE-7-MONOOXYGENASE-RXN	P4502C93
MHPELY-RXN	HOPNTAL
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	DPMVD
3-ISOPROPYLMALDEHYDROG-RXN	IPMD
RXN-12351	Htex
R206-RXN	THACH
KYNURENINASE-RXN	KYN
RXN0-746	RNTR2c
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	RBPC
PHOSNACMURPENTATRANS-RXN	PAPPT3
RXN-10939	MI134PP
OROTPDECARB-RXN	OMPDC
RXN-10854	PPRDNDH
RXN-10856	DHNPTtm
RXN-10857	DHNPA
RXN-8639	ALR
GLUCOSAMINEPNACETYLTRANS-RXN	ACGAM6PS
ADDALT-RXN	DADA
BENZYL-ALC-DEHYDROGENASE-RXN	BZALDH
METHYLGLUTACONYL-COA-HYDRATASE-RXN	MGCH
HISTAMINOTRANS-RXN	HSTPT
GLUTDEHYD-RXN	GLUDy
OXALATE-DECARBOXYLASE-RXN	OXADC
HOMOSERKIN-RXN	HSK
BISPHOSPHOGLYCERATE-PHOSPHATASE-RXN	DPGase
RXN0-2382	TRPS2
FORMATETHFLIG-RXN	FTHFL
3.6.1.41-RXN	AP4AH
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	HMSH3
RXN-8899	2AMACHYD
DIHYDROPYRIMIDINASE-RXN	DHPM1
3.6.4.4-RXN	ATPM
2PGADEHYDRAT-RXN	ENO
LACTALDDEHYDROG-RXN	LCAD
TRANS-RXN0-474	O2t
1.5.1.19-RXN	NOPD
1.14.13.95-RXN	P4508B11r
RXN0-268	PPCSCT
GLUCONOKIN-RXN	GNK
RXN-11667	ECOAH1
RXN-11662	HACD1
RXN-8760	CPC2MT
RXN-8761	CPC3MT
RXN-14064	23PDE9pp
RXN-14066	BETALDHy
DARAB5PISOM-RXN	A5PISO
OXALODECARB-RXN	OAADC
GMP-REDUCT-RXN	GMPR
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	OHPHM
GLYCOLALD-DEHYDROG-RXN	GCALDD
3.6.3.2-RXN	MG2abc
RXN-13680	NACASPAH
DOPACHROME-DELTA-ISOMERASE-RXN	DCT
DHSHIKIMATE-DEHYDRO-RXN	DHSKDH
2.3.1.155-RXN	ACACT7p
RXN-12085	HSD11B1r
1.4.3.19-RXN	GLYOp
ARGININE--TRNA-LIGASE-RXN	ARGTRS
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	HCYSMT
RXN-10952	MI4PP
RXN-10959	MI134P4P
TYRAMINOTRANS-RXN	TYRTA
TIGLYLCOA-HYDROXY-RXN	ECOAH9ir
TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRPTA
3.6.3.16-RXN	ASO3t8pp
TRANS-RXN-167A	GAMpts
LXULRU5P-RXN	X5PL3E
RIBOFLAVINSYNREDUC-RXN	APRAUR
NICOTINAMIDE-N-METHYLTRANSFERASE-RXN	NNMT
CYTIDINEKIN-RXN	CYTDK2
GLYCINE--TRNA-LIGASE-RXN	GLYTRS
R11-RXN	BUTCT
TRIPHOSPHATASE-RXN	PPA2
FHLMULTI-RXN	FHL
RXN0-5256	MBH
RXN3O-5293	EAR180y
TRANS-RXN-188	NAKtr
GLUCOSE-1-PHOSPHAT-RXN	G1PP
TRANS-RXN-187	Ktex
TRANS-RXN-185	Ktex
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN	ALCD20y
R101-RXN	DABAAT
3-HYDROXY-KYNURENINASE-RXN	HKYNH
RXN-14189	PRDX
RXN-14187	NDP6
RXN-9623	FACOAL160
RXN0-1401	R15BPK
RXN66-337	LTD4DP
METHYLMALONYL-COA-EPIM-RXN	MME
RXN-8173	AADSACYCL
RXN-8172	AOXHEXCYCL
LEUCINE-AMINOTRANSFERASE-RXN	LEUTA
2.9.1.1-RXN	SELCYSS
L-LACTATE-DEHYDROGENASE-RXN	LDH_L
RXN-9285	DPHMBDCm
LACTOSE-6-PHOSPHATE-ISOMERASE-RXN	GAL6PI
TRANS-RXN-233	GLNtex
PYRUVATE-CARBOXYLASE-RXN	PC
GLYCOLATE-REDUCTASE-RXN	GLYCLTDx
AKBLIG-RXN	GLYAT
1.14.99.36-RXN	BCDO
RXN0-5289	TRSAR
RXN-13403	UPP3MT
RXN0-7024	URDGLYCD
SUCCGLUDESUCC-RXN	SGDS
GLYCINE-N-METHYLTRANSFERASE-RXN	GNMT
RXN-10814	PHETA1
RXN-10815	PPOR
RXN-10817	PEAMNO
RXN-10811	ACPS
PYRIDOXKIN-RXN	PYDXK
RXN-10819	PACCOAL
1.2.1.32-RXN	AM6SAD
2.1.1.71-RXN	MFAPS_SC
PUTTRANSAM-RXN	PTRCTA
THYMIDYLATE-5-PHOSPHATASE-RXN	NTD5
CYSTEINE-AMINOTRANSFERASE-RXN	CYSTA
KDOTRANS-RXN	MOAT
H2NEOPTERINALDOL-RXN	DHNPA
RXN0-299	TAUDO
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	HMGCOAS
L-LYSINE-OXIDASE-RXN	LYSOXp
2.5.1.19-RXN	PSCVT
RXN-7607	NTD11
DUDPKIN-RXN	NDPK6
ACSERLY-RXN	CYSS
GALACTUROISOM-RXN	GUI2
DHHB-METHYLTRANSFER-RXN	DMQMT
RXN0-5074	NTP12
DIHYDROFOLATESYNTH-RXN	DHFS
R342-RXN	COCHL
HISTIDINE-AMMONIA-LYASE-RXN	HISD
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	AATA
GLYOXI-RXN	LGTHL
KDO-8PSYNTH-RXN	KDOPS
RXN-14115	3NTD2pp
RXN-14112	23PDE4pp
GLUCURONOLACTONE-REDUCTASE-RXN	GLRASE
3.6.4.8-RXN	ATPM
GLYOHMETRANS-RXN	GHMT2
RXN-8992	OCTDPS
RXN-8991	IPPMIa
DURIDKI-RXN	DURIK1
2.7.7.1-RXN	NMNAT
D-LACTALDEHYDE-DEHYDROGENASE-RXN	ALCD22_D
URIDINE-NUCLEOSIDASE-RXN	URIH
TRANS-RXN-211	CYSTGLUex
2.4.99.10-RXN	ST3GAL61g
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	3DSPHR
ENTF-RXN	SERASr
CITLY-RXN	CITL
3.6.4.3-RXN	ATPM
FAD-PYROPHOSPHATASE-RXN	FADDP
SAMDECARB-RXN	ADMDC
UDP-NACMUR-ALA-LIG-RXN	UAMAS
RXN0-1862	ULA4NFT
RXN-6161	PYRDC
RXN-9800	BAAT2x
PROLINE--TRNA-LIGASE-RXN	PROTRS
RXN66-358	P45021A1r
RXN66-355	P45017A3r
3.6.3.50-RXN	ATPM
CYTDEAM-RXN	CSND
OHACYL-COA-DEHYDROG-RXN	HACDp
ADENOSINE-KINASE-RXN	ADNK1
NANE-RXN	AMANAPE
MALATE-DEHYDROGENASE-NADP+-RXN	MDHy
HYPOXANPRIBOSYLTRAN-RXN	HXPRT
GMKALT-RXN	DGK1
R207-RXN	SHCD
KETOBUTFORMLY-RXN	OBTFL
THYMIDINE-TRIPHOSPHATASE-RXN	NTP9
FORMIMINOGLUTAMASE-RXN	FGLU
METHYLENETHFDEHYDROG-NADP-RXN	MTHFD
TRYPTOPHAN--TRNA-LIGASE-RXN	TRPTRS
GLYOXIII-RXN	GLYOX3
PYRIMSYN3-RXN	PMPK
METBALT-RXN	SHSL4r
ACETYL-COA-CARBOXYLTRANSFER-RXN	ACCOAC
DEOXYADENOSINE-KINASE-RXN	DADNK
RXN-9635	EAR180x
3.6.4.11-RXN	ATPM
ITACONYL-COA-HYDRATASE-RXN	CITMCOAHm
3.6.5.5-RXN	NTP3
HOMOCYSMETB12-RXN	METS
P-PANTOCYSLIG-RXN	PPNCL2
RXN-13854	NTRIR2x
RXN-12107	IDOND
ACH1-RXN	CHOLt4
4.1.1.77-RXN	4OD
LEUCINE--TRNA-LIGASE-RXN	LEUTRS
5.4.1.2-RXN	PC8XM
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	BPNT
GLUTATHIONE-SYN-RXN	GTHS
RXN-14073	GPDDA4
RXN0-363	XTSNH
